description,Comp,Pos,Neu,Neg
"This week’s episode of the Paramount Plus Halo series is causing controversy as the Master Chief, played by Pablo Schreiber, has a sex scene with a human Covenant spy.",0.34,0.085,0.915,0.0
Researchers have struggled to quantify in real time how much carbon dioxide humans spout. Lockdowns presented a unique opportunity to get a clearer picture.,0.1027,0.111,0.794,0.095
"Law enforcement agencies are finding new and flawed ways to try to arrest more people all the time. And police have been using posts on sites like Facebook and Instagram to track down and charge protestors suspected of property destruction for years. Now, new…",-0.6705,0.05,0.792,0.158
"The Spanish government sacked the country's spy chief Paz Esteban following the disclosure of the use of Pegasus software to spy on Spanish officials, El Pais newspaper said on Tuesday, citing unidentified government sources.",0.0,0.0,1.0,0.0
"""Squid Game"" star Lee Jung-jae flexes his filmmaking muscles with ""Hunt"", a spy thriller he wrote, directed, produced and also acts in.",0.1027,0.065,0.935,0.0
"Democratic systems in Australia's region are at risk of being manipulated, with their leaders controlled and taken advantage of through ""largesse"", Australia's overseas intelligence chief said in a rare public appearance on Tuesday.",0.1027,0.135,0.741,0.124
Paz Esteban reportedly loses job after Catalan independence figures were said to have been targetedThe Spanish government has reportedly sacked the country’s spy chief Paz Esteban following revelations that the intelligence service hacked the phones of leadin…,-0.2263,0.074,0.808,0.119
"Paz Estaban told committee spyware was used on 18 Catalan activists with judicial approval, sources sayThe Catalan government is calling for answers “from the highest level” after the head of Spain’s National Intelligence Centre (CNI) reportedly confirmed tha…",0.7351,0.147,0.853,0.0
"Former MI6 spy Christopher Steele told the LBC radio station that Putin is ""increasingly ill"" and takes regular treatments with an entourage of doctors.",-0.4215,0.0,0.891,0.109
"Mali's military rulers have accused the French army of repeatedly violating a controlled airspace over the country's centre and north to ""spy"" on its forces, the latest escalation of tensions between Paris and Bamako.",-0.8126,0.0,0.781,0.219
"Finland and Sweden must prepare for increased Russian spy operations, cyber attacks and attempts to influence lawmakers as they consider joining NATO after Moscow's invasion of Ukraine, the Nordic nations' intelligence chiefs said on Wednesday.",0.3182,0.13,0.798,0.072
"Australia's spy chief says Canberra is concerned Chinese police deployed to the Solomon Islands under a new security pact could use ""ruthless"" techniques previously used to quell anti-government protests in Hong Kong.",0.128,0.072,0.871,0.057
"North Korea's first confirmed COVID-19 outbreak spread after a massive military parade in Pyongyang in April, the South's Newsis news agency said on Wednesday, citing lawmakers briefed by the South's spy agency.",0.0,0.0,1.0,0.0
"The Swiss government proposed on Thursday letting its spy agency penetrate the country's famous banking secrecy to snoop on financial transactions that it suspects are funding terrorism, espionage or violent extremism.",-0.8979,0.0,0.72,0.28
"Writing for the New Yorker, Ronan Farrow reports on Pegasus, ""a spyware technology designed by NSO Group, an Israeli firm, which can extract the contents of a phone, giving access to its texts and photographs, or activate its camera and microphone to provide …",0.34,0.055,0.945,0.0
A businessman and an officer are charged with leaking secrets to a presumed agent from the North.,-0.2023,0.0,0.886,0.114
There was reason for optimism earlier in the week as the S&P 500 (SPY) advanced nicely after skirting bear market territory. But then on Tuesday WalMart had shockingly poor earnings...,-0.3612,0.154,0.678,0.168
"Australia's defence minister, Peter Dutton, said a Chinese intelligence ship had been tracked off the West Australian coast, describing it as an ""act of aggression"" by Beijing.",0.3182,0.152,0.774,0.074
"Britain will overhaul its espionage laws in the face of threats to national security ranging from cyber-attacks to pernicious lobbying that could undermine its economy, the country's interior minister said on Wednesday.",-0.4404,0.065,0.763,0.172
"Russia's foreign spy chief accused the United States and Poland on Thursday of plotting to gain a sphere of influence in Ukraine, the strongest signal from Moscow that the war could end with forced partition of Ukraine between the West and Russia.",0.0,0.171,0.658,0.171
"The United States believes that Russian President Vladimir Putin is preparing for a long conflict in Ukraine and a Russian victory in the Donbas in the east of the country might not end the war, U.S. Director of National Intelligence Avril Haines said on Tues…",0.7748,0.18,0.775,0.046
"The stock market (SPY) flirted with bear market territory last week before bouncing higher. However, this bounce feels different…like it might actually be the end of this downside scare. 40...",-0.6858,0.0,0.802,0.198
Bulls and bears have been squabbling over the direction of the stock market (SPY) since the start of the year. Right now the bears are winning. But the bulls have...,0.296,0.071,0.929,0.0
"Monday stocks retested the S&P 500’s (SPY) lowest levels of the 2022 correction. Yes, shares bounced higher into the open. Unfortunately that tells us nothing about what comes next. So...",-0.0258,0.136,0.724,0.139
"2022 has been a trying year for investors as the stock market (SPY) is in full on correction mode. Thus, the strategies that worked so well in 2021 are getting...",0.4101,0.089,0.911,0.0
"The S&P 500 (SPY) had a nice bounce and remains above its key level. However, the market faces some serious challenges in terms of inflation, a hawkish Fed, and now...",0.4215,0.135,0.822,0.043
We recently saw a headline that made us ask “what?!?” because it said an uptrend in the S&P 500 (NYSEARCA: SPY) had been confirmed. Our take on the market is...,0.0,0.0,1.0,0.0
Long gap until next set of hearings into undercover policing scandal criticised by victims of surveillanceWomen who were deceived into intimate relationships with undercover police officers have said it is “beyond belief” they will have to wait a further two …,-0.872,0.0,0.763,0.237
"CPS decided not to pursue case against undercover officer despite evidence he had broken the lawProsecutors decided that it was not in the public interest to prosecute an undercover police officer who stole the identity of a dead baby, despite concluding last…",-0.7964,0.06,0.739,0.202
"Schoolchildren as young as 14 targeted in 1975 for links to ‘subversive’ anti-fascist and socialist organisationsMI5 asked police chiefs to collect information about the political activities of schoolchildren as young as 14, a public inquiry into undercover p…",0.0,0.0,1.0,0.0
"Egypt’s religious and secular institutions both breed mistrust in Tarik Saleh’s superbly realised paranoid nightmareTarik Saleh is the Swedish-Egyptian director who made The Nile Hilton Incident in 2017, a shrewd, dyspeptic movie about the official corruption…",-0.25,0.0,0.944,0.056
"The women deceived by police, and other activists who were spied on, are denied justice by a process that is so drawn outThe public inquiry into undercover policing, which has just held its third phase of hearings, is on course to become one of the longest ev…",-0.34,0.065,0.824,0.111
"Luke Symons was captured by Houthi rebels and accused of being a spy but was never put on trialA British man who was held captive in Yemen without charge or trial for five years has been released from jail.In 2017, Luke Symons, 30, was held by Houthi rebels a…",-0.4939,0.0,0.896,0.104
"Putin has been breaking up meetings for medical treatment, says former M-I6 ""Trump dossier"" spy Christopher Steele.",0.0,0.0,1.0,0.0
U of T prof Pat Bayly headed up North America’s first spy school and developed an “unbreakable” cipher machine during the Second World War,-0.5994,0.0,0.843,0.157
"""Its intention, of course, is to collect intelligence right along the coastline,"" Australia's defense minister said.",0.5574,0.247,0.753,0.0
"Spy x Family is an anime from Wit Studio and CloverWorks following the Forger family. In the latest episode, Anya Forger punches Damian Desmond, and their relationship has inspired loads of memes online.",0.4939,0.094,0.906,0.0
"Filed under:
 Spy Photos,Pagani,Coupe,Luxury,Performance,Supercars
 Continue reading Pagani C10 spy photos give us a peek at the Huayra successor
Pagani C10 spy photos give us a peek at the Huayra successor originally appeared on Autoblog on Fri, 6 May 2022 1…",0.4215,0.098,0.902,0.0
"For those who tire of battle-centric shonen anime series and want a little bit more “aww” in their lives, these anime will warm your heart. Read more...",0.296,0.118,0.882,0.0
"A spy, a telepath, and an assassin walk into a bar.",0.0,0.0,1.0,0.0
"For years, undercover officers from the Metropolitan police deceived and manipulated female activists such as McDonald’s campaigner Helen Steel. Her new book reveals their callous tricksWith hindsight, the environmental activist Helen Steel, a key figure in t…",-0.6705,0.0,0.861,0.139
"Russian operatives trying to escalate online conflict and seeking targets in countries opposing war, says Jeremy Fleming<ul><li>Russia-Ukraine war: latest updates</li></ul>Russian hackers are seeking to target western countries supporting Ukraine in its effor…",-0.802,0.071,0.683,0.246
"The UK prime minister, Boris Johnson, will visit Finland and Sweden on Wednesday as they consider whether to apply for Nato membership<ul><li>Putin ‘preparing for prolonged war’, says US spy chief</li><li>UN: Ukraine civilian deaths may be thousands higher th…",0.0,0.0,1.0,0.0
"DNI Avril Haines said that Putin likely ""judges that Russia has a greater ability and willingness to endure challenges than his adversaries.""",0.7351,0.325,0.675,0.0
"A self-described ""comically terrible spy"" who is believed to have worked with federal authorities investigating the activities of Deutsche...",-0.4767,0.0,0.846,0.154
"Mother Teresa: For the Love of God investigates the complex legacy of the controversial Nobel peace prize-winning nun. Plus, Fergal Keane on his PTSD. Here’s what to watch this eveningWho was the real Mother Teresa? “Without question, [she] was the most self-…",0.8402,0.198,0.766,0.036
"Even the most imaginative spy novelist couldn’t have made it up: In 1943 a motley group of British operatives created an elaborate false identity for a corpse, which they then sent awash on a beach in Spain, with the aim of throwing the Nazis off the trail of…",-0.4019,0.041,0.883,0.076
"NASA is back with its monthly roundup up of celestial treats to spy in the sky. Mercury, a lunar eclipse, and the Coma star cluster all feature.",0.0,0.0,1.0,0.0
Irina Borogan and Andrei Soldatov's article follows multiple reports that Putin punished numerous FSB agents over poor Ukraine intelligence.,-0.4588,0.123,0.635,0.242
"Appian Corp <a href=""https://www.reuters.com/companies/APPN.O"" target=""_blank"">(APPN.O)</a> shares soared and Pegasystems Inc <a href=""https://www.reuters.com/companies/PEGA.O"" target=""_blank"">(PEGA.O)</a> shares tumbled on Tuesday after a Virginia jury order…",0.5267,0.188,0.812,0.0
"Spanish authorities have detected ""Pegasus"" spyware in the mobile phones of Prime Minister Pedro Sanchez and Defence Minister Margarita Robles, the government minister for the presidency, Felix Bolanos, said on Monday.",0.1027,0.045,0.955,0.0
"Pakistan's National Security Council, a body of top civil and military leaders, on Friday rejected ousted Prime Minister Imran Khan's accusations that United States had conspired to topple his government through a parliamentary vote of confidence.",0.5719,0.235,0.638,0.128
"Luxury carmaker Aston Martin Lagonda <a href=""https://www.reuters.com/companies/AML.L"" target=""_blank"">(AML.L)</a> is now on its third chief executive since listing just over three years ago, and its second since billionaire Lawrence Stroll led a rescue recap…",0.5106,0.096,0.904,0.0
An anonymous reader quotes a report from The Guardian: A former eBay executive pleaded guilty on Thursday to participating in a scheme to terrorize the creators of an online newsletter that included the delivery of live spiders and other disturbing items to t…,-0.886,0.0,0.781,0.219
"<ol><li>When will Putin end war with Ukraine? Here's what US intelligence says  Hindustan Times
</li><li>Putin determined to take war beyond Donbas to Transnistria: US intelligence chief  Times of India
</li><li>Putin 'Likely' to Impose Martial Law in Russi…",-0.34,0.173,0.625,0.202
"<ol><li>RuPaul's Drag Race season 14 winner is revealed at Vegas finale | EW.com  Entertainment Weekly News
</li><li>RuPaul's Drag Race Star Willow Pill Details Life with Cystinosis: 'Nothing Is Unaffected By It'  PEOPLE
</li><li>Finally, the finale of RuPa…",0.5859,0.156,0.755,0.09
The NLRB complaint filed against Starbucks includes more than 29 unfair labor practice charges and 200 violations of the National Labor Relations Act.,-0.8768,0.0,0.632,0.368
"Is spy-tech outfit trying to distract from underperforming results?
Palantir's CEO invoked the specter of nuclear war as the US spy-tech company posted net losses of $101 million and revenue guidance undershot market expectations.…",-0.8316,0.0,0.779,0.221
"The home secretary’s gratis tickets to No Time to Die’s premiere were apparently ‘connected to executive functions’ because it’s a spy film. But what about ministers who run boring departments?When the home secretary, Priti Patel, arrived at the premiere of N…",-0.5346,0.026,0.868,0.107
"Bayer’s <a href=""https://www.reuters.com/companies/BAYGn.DE"" target=""_blank"">(BAYGn.DE)</a> latest legal setback in its Roundup saga looks equally toxic to American justice <a href=""/world/us/biden-administration-asks-us-supreme-court-shun-bayer-weedkiller-ap…",0.5994,0.224,0.776,0.0
"Ricardo Alarcon, one of the most powerful men in Cuba under former President Fidel Castro and a key player in relations with the United States, died in Havana on Saturday evening, his family said.",0.3167,0.149,0.76,0.091
The British government has refused to publish the advice Prime Minister Boris Johnson received from security services before the British-Russian media boss Evgeny Lebedev was appointed to parliament's upper chamber.,0.0516,0.074,0.859,0.067
"Citing satellite imagery, a submarine analyst says Russia's navy is deploying dolphins to defend a crucial base off Crimea. Russia and the U.S. have run marine mammal training programs for decades.",0.0,0.0,1.0,0.0
"A nonbinding agreement fronted by the U.S. is looking to set goals and boundaries for the future of a free internet. And though the declaration is more of a nonbinding agreement that is loose on specifics, it’s also noteworthy who isn’t on the pledge, namely …",0.8126,0.194,0.76,0.046
"The stock market is in the midst of a brutal correction. Despite Monday's bounce, investors should remain cautious as there remains a considerable downside risk. Read on to find out...",-0.8225,0.0,0.714,0.286
"The streaming service’s stumble could also show that the fight for everyone’s attention is going to be much tougher in futureIn the early 1930s, when Claud Cockburn worked on the Times, the subeditors had a competition to see who could compose the dullest hea…",-0.5574,0.036,0.851,0.113
Two brothers wind up in Cuckooland; Audible’s new whodunnit is one you’ll want headphones for; and Deborah James bids a brave farewellTime Flies (Radio 4) | BBC SoundsRadioMan (Audible) | audible.co.ukTruthdiggers (Fun Kids) | funkidslive.comThe Spying Game (…,0.5719,0.128,0.872,0.0
"PlayStation classic games may be getting Trophy support, as Bend Studio shared that Syphon Filter players through PlayStation Plus can unlock Trophies.",0.6249,0.203,0.797,0.0
"The Artist director’s remake of the Japanese cult film One Cut of the Dead is an undemanding, easygoing way to kick off the Cannes film festivalLet’s do the wacky metafictional zombie film right here! That is the rationale behind this unassuming knockabout co…",-0.6588,0.047,0.816,0.137
David Harville is one of six others charged for harassing the Boston duo who ran a new newsletter criticizing the companyA former eBay executive pleaded guilty on Thursday to participating in a scheme to terrorize the creators of an online newsletter that inc…,-0.9313,0.0,0.707,0.293
"Patriots will open at the Almeida in London and star Tom Hollander as Boris Berezovsky, an outspoken critic of the Russian presidentPeter Morgan, the Oscar-nominated screenwriter and creator of Netflix’s The Crown, is to explore the world of Russian oligarchs…",-0.2732,0.0,0.949,0.051
"The children's book details how a character named ""Hillary Queenton"" accused ""King Donald"" of ""working with the Russionians"" to become King.",-0.296,0.0,0.896,0.104
"Civilian volunteers are bringing out the elderly, but some have been detained by Russian forces.",-0.5499,0.0,0.798,0.202
"""Twitter DMs should have end to end encryption like Signal,"" Elon Musk tweeted Wednesday to his 89 million followers, ""so no one can spy on or hack your messages."" 
And on Monday, Musk also announced hopes to ""authenticate all humans."" 

But now Security Week…",0.5882,0.139,0.822,0.04
"Investors were drawn to the border of bear market territory like a moth to a flame. And just when they were about to cross into bear market territory below 3,855...",0.3612,0.085,0.915,0.0
"Stock for Peloton, the fitness brand popular for its treadmills and bikes, plummeted upon release of the company's Q1 earnings report.",0.5994,0.205,0.795,0.0
"Yes, I know that this commentary normally comes out Friday evenings. But life got in the way yesterday and had to push it out to this morning. Gladly the S&P...",0.6059,0.155,0.845,0.0
"Production woes, entirely new series, casting leaks—but also major questions unanswered.",-0.4404,0.0,0.775,0.225
President Vladimir Putin will lead anniversary celebrations of the Soviet Union's victory over Nazi Germany on Monday as Russian forces fight Ukrainians in one of the deadliest European conflicts since the end of World War Two 77 years ago.,-0.8442,0.0,0.798,0.202
"Crunchyroll is the best streaming destination exclusively for anime, and there are several new additions to the platform's catalog worth watching.",0.7269,0.243,0.757,0.0
You probably haven't seen some of them in almost 30 years!View Entire Post ›,0.0,0.0,1.0,0.0
"In this week’s Puzzlers’ Book Club, we read the wide-ranging memoir of a noted solver, complete with hidden coded messageAJ Jacobs is from the “my journey” school of nonfiction and takes a magpie approach across about 20 varieties of puzzle, sharing titbits a…",0.4215,0.065,0.935,0.0
"Let’s be realistic – in unpredictable weather, only denim will do. The key is in how your jeans fit on the waist and legMarilyn Monroe once said clothes should be tight enough to show you are a woman but loose enough to show you are a lady. I know this sounds…",-0.296,0.035,0.905,0.059
"Filed under:
 Land Rover,SUV,Luxury,Off-Road Vehicles
 Continue reading Long Land Rover Defender 130 will be revealed this month
Long Land Rover Defender 130 will be revealed this month originally appeared on Autoblog on Wed, 18 May 2022 15:59:00 EDT. Please …",0.4767,0.124,0.876,0.0
The SR-72 hypersonic spy plane being designed by Lockheed Martin is the successor to the legendary SR-71 Blackbird,0.2263,0.101,0.899,0.0
The decades-long spy conflict between Russia and the West is intensifying over the Ukraine war. But what are Russia's intelligence services suspected of doing and how will their officials' expulsion from capitals affect Putin's clandestine overseas operations?,-0.0772,0.095,0.757,0.148
"<ol><li>Huawei ban won't solve the problem of Chinese spying on Canada, experts say  National Post
</li><li>Former Richmond MP felt the decision of banning huawei came too late  Richmond News
</li><li>Global National: May 20, 2022 | Huawei's 5G ban further …",-0.7604,0.05,0.755,0.195
"As Putin’s nemesis Alexei Navalny phones up the secret agent who put Novichok in his pants, this terrifying documentary enters the realms of the far-fetched spy thriller – and yet it’s all true‘Let’s make a thriller out of this movie,” suggests Alexei Navalny…",-0.5537,0.062,0.841,0.097
"The forthcoming De La Resistance will focus on Baker’s work as a spy for the allies during the French resistance, as well as her role as a performer and jazz icon",0.2732,0.07,0.93,0.0
"The actor was best known for roles on ""Friends,"" ""Seinfeld"" and the recent HBO Max comedy, ""Somebody Somewhere.""",0.7717,0.295,0.705,0.0
We could expound for days on the risks facing the market and the potential depth of the oncoming correction but we won’t. Today we're here to touch base on a...,-0.1406,0.0,0.949,0.051
"<ol><li>Dhaakad Song She’s On Fire: Kangana Ranaut Raises Temperatures With Steamy Avatar With Arjun Rampal  News18
</li><li>Amitabh Bachchan shares teaser for Kangana's song on Insta, deletes it later  Hindustan Times
</li><li>Dhaakad song She's On Fire: K…",-0.5574,0.054,0.78,0.166
"Marc Mulholland: Butcher’s Knives, Treason and Plot - Conspiracy on Cato Street: A Tale of Liberty and Revolution in Regency London by Vic Gatrell",-0.4404,0.118,0.662,0.22
"Apple TV+ shares a behind-the-scenes look at 'Tehran' season two examining the characters' upcoming challenges.'Tehran' season two debuts May 6, 2022The first look trailer shows some of the main cast members describing their character's journey and what is in…",0.296,0.056,0.944,0.0
"The finale of Apple TV+ drama ""Slow Horses"" includes a sneak peak at the second season, plus new cast have been revealed.Gary Oldman in ""Slow Horses""The last episode of the critically-acclaimed six-part spy thriller ""Slow Horses,"" from See-Saw Films and based…",0.1027,0.035,0.965,0.0
"Netflix teases the release of its new Russo Brothers film with the official first look images of the upcoming The Gray Man. The film features a star-studded cast including Ryan Gosling, Chris Evans, Ana de Armas and Regé-Jean Page.The film, which is based on …",-0.296,0.0,0.95,0.05
"We can think of one thing the S stands for in some unfortunate cases
Miscreants are targeting managed service providers (MSPs) to break into their customers' networks and deploy ransomware, steal data, and spy on them, the Five Eyes nations' cybersecurity aut…",-0.7351,0.0,0.863,0.137
"If a network snoop probes like a Kremlin agent, exploits like a Kremlin agent, it might be...
A cyber-spy group is targeting Microsoft Exchange deployments to steal data related to mergers and acquisitions and large corporate transactions, according to Mandia…",-0.1531,0.117,0.751,0.131
"North Korea's admission that it is battling an ""explosive"" COVID-19 outbreak has raised concerns that the virus could devastate a country with an under-resourced health system, limited testing capabilities, and no vaccine programme.",-0.8519,0.0,0.731,0.269
"Fighting raged around cities and towns in Ukraine’s east. An evacuation convoy may reach the besieged steel plant in Mariupol on Friday, a U.N. official said.",-0.6597,0.038,0.769,0.192
